timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2025/08/22 16:46:12.159, 0 %, 0 %, 572 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:46:22.164, 0 %, 0 %, 572 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:46:32.167, 0 %, 0 %, 572 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:46:42.173, 0 %, 0 %, 572 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:46:52.177, 0 %, 0 %, 572 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:47:02.181, 0 %, 0 %, 572 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:47:12.185, 0 %, 0 %, 572 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:47:22.190, 0 %, 0 %, 572 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:47:32.194, 0 %, 0 %, 572 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:47:42.198, 0 %, 0 %, 1024 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:47:52.203, 0 %, 0 %, 1024 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:48:02.206, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:48:12.210, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:48:22.215, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:48:32.219, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:48:42.223, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:48:52.227, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:49:02.232, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:49:12.235, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:49:22.239, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:49:32.243, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:49:42.246, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:49:52.250, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.63 W, 37
2025/08/22 16:50:02.255, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:50:12.259, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
